ws             	date       	time    	  hr	 rdy	 bsy	  rd	  wr	  ka	 log	 dns	 cls	mwas	mwgt
webhost010 	Nov-03-2017	15:09:51	  15	  58	  17	   5	   0	  12	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	15:14:51	  15	  26	  49	  29	   2	  18	   0	   0	   0	   2	   0
webhost010 	Nov-03-2017	15:19:51	  15	  54	  46	  21	   2	  23	   0	   0	   0	   2	   0
webhost010 	Nov-03-2017	15:24:51	  15	  66	  34	  15	   1	  18	   0	   0	   0	   1	   0
webhost010 	Nov-03-2017	15:29:51	  15	  47	  33	  16	   2	  15	   0	   0	   0	   1	   1
webhost010 	Nov-03-2017	15:34:51	  15	  43	  32	  14	   2	  16	   0	   0	   0	   2	   0
webhost010 	Nov-03-2017	15:39:51	  15	  44	  31	  14	   3	  14	   0	   0	   0	   3	   0
webhost010 	Nov-03-2017	15:44:51	  15	  46	  29	  12	   5	  12	   0	   0	   0	   5	   0
webhost010 	Nov-03-2017	15:49:51	  15	  40	  35	  21	   4	  10	   0	   0	   0	   4	   0
webhost010 	Nov-03-2017	15:54:51	  15	  55	  20	   5	   4	  11	   0	   0	   0	   4	   0
webhost010 	Nov-03-2017	15:59:52	  15	  51	  24	  10	   1	  13	   0	   0	   0	   1	   0
webhost010 	Nov-03-2017	16:04:52	  16	  33	  42	  20	   1	  21	   0	   0	   0	   1	   0
webhost010 	Nov-03-2017	16:09:52	  16	  63	  12	   0	   0	  12	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	16:14:52	  16	  64	  11	   5	   2	   4	   0	   0	   0	   2	   0
webhost010 	Nov-03-2017	16:19:52	  16	  59	  16	  10	   1	   5	   0	   0	   0	   1	   0
webhost010 	Nov-03-2017	16:24:52	  16	  51	  24	  15	   0	   9	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	16:29:52	  16	  49	  26	  10	   0	  16	   0	   0	   0	   0	   0
